,source_singular,country,country_total,country_pct,source_singular,sub_event_type,sub_event_type_total,sub_event_type_pct
254,Le Populaire,France_majority,14,1.0,Le Populaire,Peaceful_protest_majority,13,0.9285714285714286
255,Ouest France,France_majority,399,1.0,Ouest France,Peaceful_protest_majority,379,0.949874686716792
256,Heraldo De Aragon,Spain_majority,157,1.0,Heraldo De Aragon,Peaceful_protest_majority,153,0.9745222929936306
257,Tabasco Hoy,Mexico_majority,32,1.0,Tabasco Hoy,Peaceful_protest_majority,26,0.8125
258,Indymedia Argentina,Argentina_majority,89,1.0,Indymedia Argentina,Peaceful_protest_majority,76,0.8539325842696629
259,Early Times (India),India_majority,61,1.0,Early Times (India),Peaceful_protest_majority,58,0.9508196721311475
260,El Siglo de Durango,Mexico_majority,58,1.0,El Siglo de Durango,Peaceful_protest_majority,52,0.896551724137931
261,Antena San Luis,Mexico_majority,24,1.0,Antena San Luis,Peaceful_protest_majority,18,0.75
262,Uprise RI,United_States_majority,15,1.0,Uprise RI,Peaceful_protest_majority,15,1.0
263,Busan Ilbo,South_Korea_majority,69,1.0,Busan Ilbo,Peaceful_protest_majority,68,0.9855072463768116
264,Irish Examiner,Ireland_majority,18,0.9,Irish Examiner,Peaceful_protest_majority,17,0.85
265,Edmonton Journal,Canada_majority,31,1.0,Edmonton Journal,Peaceful_protest_majority,21,0.6774193548387096
266,Morgen Post,Germany_majority,69,1.0,Morgen Post,Peaceful_protest_majority,53,0.7681159420289855
267,Kiho Ilbo,South_Korea_majority,39,1.0,Kiho Ilbo,Peaceful_protest_majority,39,1.0
268,Colima Noticias,Mexico_majority,11,1.0,Colima Noticias,Peaceful_protest_majority,10,0.9090909090909091
269,Adevarul,Romania_majority,129,0.9923076923076923,Adevarul,Peaceful_protest_majority,111,0.8538461538461538
270,Newsweek.ro,Romania_majority,45,1.0,Newsweek.ro,Peaceful_protest_majority,32,0.7111111111111111
271,Aosta Sera,Italy_majority,29,1.0,Aosta Sera,Peaceful_protest_majority,29,1.0
272,Chieti Today,Italy_majority,22,1.0,Chieti Today,Peaceful_protest_majority,22,1.0
273,WUSA9,United_States_majority,21,1.0,WUSA9,Peaceful_protest_majority,19,0.9047619047619048
274,Fox45 (Baltimore),United_States_majority,31,1.0,Fox45 (Baltimore),Peaceful_protest_majority,28,0.9032258064516129
275,SOL (Germany),Germany_majority,22,1.0,SOL (Germany),Peaceful_protest_majority,22,1.0
276,Dong-a Ilbo,South_Korea_majority,36,0.972972972972973,Dong-a Ilbo,Peaceful_protest_majority,31,0.8378378378378378
277,Newcastle Herald,Australia_majority,20,1.0,Newcastle Herald,Peaceful_protest_majority,14,0.7
278,Greater Kashmir,India_majority,33,1.0,Greater Kashmir,Peaceful_protest_majority,27,0.8181818181818182
279,Oggi Treviso,Italy_majority,80,1.0,Oggi Treviso,Peaceful_protest_majority,79,0.9875
280,West Australian,Australia_majority,21,1.0,West Australian,Peaceful_protest_majority,19,0.9047619047619048
281,La Tribune (Canada),Canada_majority,11,1.0,La Tribune (Canada),Peaceful_protest_majority,9,0.8181818181818182
282,Pagina 24 Zacatecas,Mexico_majority,21,1.0,Pagina 24 Zacatecas,Peaceful_protest_majority,21,1.0
283,Kyeongin Ilbo,South_Korea_majority,51,1.0,Kyeongin Ilbo,Peaceful_protest_majority,51,1.0
284,ABC7 (Washington D.C.),United_States_majority,20,1.0,ABC7 (Washington D.C.),Peaceful_protest_majority,20,1.0
285,Fox7 (Austin),United_States_majority,15,1.0,Fox7 (Austin),Peaceful_protest_majority,13,0.8666666666666667
286,Your Mountain Television WYMT,United_States_majority,10,1.0,Your Mountain Television WYMT,Peaceful_protest_majority,10,1.0
287,Al Akhbar (Mauritania),Mauritania_majority,22,0.9565217391304348,Al Akhbar (Mauritania),Peaceful_protest_majority,19,0.8260869565217391
288,El Deber,Bolivia_majority,143,1.0,El Deber,Peaceful_protest_majority,119,0.8321678321678322
289,Telegram,United_States_majority,12,1.0,Telegram,Peaceful_protest_majority,11,0.9166666666666666
290,La Gazzetta Di Lucca,Italy_majority,37,1.0,La Gazzetta Di Lucca,Peaceful_protest_majority,37,1.0
291,United News of India,India_majority,82,1.0,United News of India,Peaceful_protest_majority,68,0.8292682926829268
292,La Sicilia Web,Italy_majority,15,1.0,La Sicilia Web,Peaceful_protest_majority,14,0.9333333333333333
293,BlogSicilia,Italy_majority,144,1.0,BlogSicilia,Peaceful_protest_majority,138,0.9583333333333334
294,Shuud.mn,Mongolia_majority,14,1.0,Shuud.mn,Peaceful_protest_majority,10,0.7142857142857143
295,Rudaw,Turkey_majority,42,0.8571428571428571,Rudaw,Change_to_group_activity_majority,40,0.8163265306122449
296,Noordhollands Dagblad,Netherlands_majority,40,1.0,Noordhollands Dagblad,Peaceful_protest_majority,30,0.75
297,Al Chourouk,Tunisia_majority,99,1.0,Al Chourouk,Peaceful_protest_majority,91,0.9191919191919192
298,Agence Tunis Afrique Presse,Tunisia_majority,102,1.0,Agence Tunis Afrique Presse,Peaceful_protest_majority,93,0.9117647058823529
299,Chek News,Canada_majority,40,1.0,Chek News,Peaceful_protest_majority,37,0.925
300,Andaman Sheekha,India_majority,18,1.0,Andaman Sheekha,Peaceful_protest_majority,17,0.9444444444444444
301,Il Friuli,Italy_majority,48,1.0,Il Friuli,Peaceful_protest_majority,43,0.8958333333333334
302,Mainichi Shimbun,Japan_majority,52,1.0,Mainichi Shimbun,Peaceful_protest_majority,47,0.9038461538461539
303,Asahi Shimbun,Japan_majority,24,1.0,Asahi Shimbun,Peaceful_protest_majority,20,0.8333333333333334
304,Wyborcza,Poland_majority,31,0.96875,Wyborcza,Peaceful_protest_majority,29,0.90625
305,Fox61,United_States_majority,31,1.0,Fox61,Peaceful_protest_majority,31,1.0
306,Boston Globe,United_States_majority,40,1.0,Boston Globe,Peaceful_protest_majority,37,0.925
307,Le Journal de Quebec,Canada_majority,45,1.0,Le Journal de Quebec,Peaceful_protest_majority,36,0.8
308,KOIN6,United_States_majority,28,1.0,KOIN6,Peaceful_protest_majority,24,0.8571428571428571
309,AFN - Tijuana,Mexico_majority,10,1.0,AFN - Tijuana,Peaceful_protest_majority,10,1.0
310,Quadratin Oaxaca,Mexico_majority,67,1.0,Quadratin Oaxaca,Peaceful_protest_majority,57,0.8507462686567164
311,OVCS: Observatorio Venezolano de Conflictividad Social,Venezuela_majority,328,1.0,OVCS: Observatorio Venezolano de Conflictividad Social,Peaceful_protest_majority,328,1.0
312,La Patria en Linea,Bolivia_majority,50,1.0,La Patria en Linea,Peaceful_protest_majority,47,0.94
313,La Opinion De Murcia,Spain_majority,25,1.0,La Opinion De Murcia,Peaceful_protest_majority,24,0.96
314,WDR,Germany_majority,78,1.0,WDR,Peaceful_protest_majority,73,0.9358974358974359
315,NBC Bay Area,United_States_majority,18,1.0,NBC Bay Area,Peaceful_protest_majority,15,0.8333333333333334
316,NBC6 Chicago,United_States_majority,13,1.0,NBC6 Chicago,Peaceful_protest_majority,11,0.8461538461538461
317,TVA Nouvelles,Canada_majority,19,1.0,TVA Nouvelles,Peaceful_protest_majority,15,0.7894736842105263
318,Fox Providence,United_States_majority,13,1.0,Fox Providence,Peaceful_protest_majority,11,0.8461538461538461
319,Patriot-News,United_States_majority,13,1.0,Patriot-News,Peaceful_protest_majority,13,1.0
320,Udriin Sonin,Mongolia_majority,24,1.0,Udriin Sonin,Peaceful_protest_majority,18,0.75
321,Ikon.mn,Mongolia_majority,20,1.0,Ikon.mn,Peaceful_protest_majority,14,0.7
322,Avenue Mail,India_majority,15,1.0,Avenue Mail,Peaceful_protest_majority,13,0.8666666666666667
323,KITV4,United_States_majority,16,1.0,KITV4,Peaceful_protest_majority,16,1.0
324,Maui Now,United_States_majority,16,1.0,Maui Now,Peaceful_protest_majority,15,0.9375
325,Kurdistan24,Turkey_majority,14,0.9333333333333333,Kurdistan24,Change_to_group_activity_majority,15,1.0
326,ABC10 (Sacramento),United_States_majority,12,1.0,ABC10 (Sacramento),Peaceful_protest_majority,11,0.9166666666666666
327,Sacramento Bee,United_States_majority,21,1.0,Sacramento Bee,Peaceful_protest_majority,20,0.9523809523809523
328,Kashmir News Service,India_majority,11,1.0,Kashmir News Service,Peaceful_protest_majority,9,0.8181818181818182
329,California Nurses Association,United_States_majority,54,1.0,California Nurses Association,Peaceful_protest_majority,54,1.0
330,Press Democrat,United_States_majority,13,1.0,Press Democrat,Peaceful_protest_majority,12,0.9230769230769231
331,San Francisco Chronicle,United_States_majority,31,1.0,San Francisco Chronicle,Peaceful_protest_majority,31,1.0
332,Santa Cruz Sentinel,United_States_majority,11,1.0,Santa Cruz Sentinel,Peaceful_protest_majority,11,1.0
333,News 4 Nashville,United_States_majority,12,1.0,News 4 Nashville,Peaceful_protest_majority,12,1.0
334,Dhaka Tribune,Bangladesh_majority,153,1.0,Dhaka Tribune,Peaceful_protest_majority,114,0.7450980392156863
335,Nice Matin,France_majority,38,0.9743589743589743,Nice Matin,Peaceful_protest_majority,35,0.8974358974358975
336,Charente Libre,France_majority,16,1.0,Charente Libre,Peaceful_protest_majority,16,1.0
337,Il Corriere Delle Alpi,Italy_majority,31,1.0,Il Corriere Delle Alpi,Peaceful_protest_majority,31,1.0
338,LiguriaNotizie,Italy_majority,95,1.0,LiguriaNotizie,Peaceful_protest_majority,90,0.9473684210526315
339,Sr-Online,Germany_majority,24,1.0,Sr-Online,Peaceful_protest_majority,24,1.0
340,Cope,Spain_majority,65,1.0,Cope,Peaceful_protest_majority,58,0.8923076923076924
341,The Journal (Ireland),Ireland_majority,13,0.9285714285714286,The Journal (Ireland),Peaceful_protest_majority,11,0.7857142857142857
342,Weser Kurier Politik,Germany_majority,93,1.0,Weser Kurier Politik,Peaceful_protest_majority,81,0.8709677419354839
343,Sapo 24,Portugal_majority,20,0.9523809523809523,Sapo 24,Peaceful_protest_majority,18,0.8571428571428571
344,Iranian Labour News Agency,Iran_majority,42,1.0,Iranian Labour News Agency,Peaceful_protest_majority,40,0.9523809523809523
345,Times-Colonist,Canada_majority,37,1.0,Times-Colonist,Peaceful_protest_majority,31,0.8378378378378378
346,Manoto,Iran_majority,14,1.0,Manoto,Peaceful_protest_majority,12,0.8571428571428571
347,Daily Star (Bangladesh),Bangladesh_majority,83,1.0,Daily Star (Bangladesh),Peaceful_protest_majority,61,0.7349397590361446
348,Georgia Straight,Canada_majority,18,1.0,Georgia Straight,Peaceful_protest_majority,17,0.9444444444444444
349,Human Rights Activists in Iran (HRA),Iran_majority,102,1.0,Human Rights Activists in Iran (HRA),Peaceful_protest_majority,91,0.8921568627450981
350,Badische-Zeitung,Germany_majority,45,1.0,Badische-Zeitung,Peaceful_protest_majority,36,0.8
351,Ilgiornaledisalerno,Italy_majority,61,1.0,Ilgiornaledisalerno,Peaceful_protest_majority,59,0.9672131147540983
352,La Repubblica,Italy_majority,707,1.0,La Repubblica,Peaceful_protest_majority,670,0.9476661951909476
353,La Verdad De Murcia,Spain_majority,51,1.0,La Verdad De Murcia,Peaceful_protest_majority,49,0.9607843137254902
354,Stuff,New_Zealand_majority,47,1.0,Stuff,Peaceful_protest_majority,46,0.9787234042553191
355,Press (New Zealand),New_Zealand_majority,23,1.0,Press (New Zealand),Peaceful_protest_majority,19,0.8260869565217391
356,Al 3omk,Morocco_majority,105,0.9905660377358491,Al 3omk,Peaceful_protest_majority,86,0.8113207547169812
357,Hankook Ilbo,South_Korea_majority,75,0.9868421052631579,Hankook Ilbo,Peaceful_protest_majority,68,0.8947368421052632
358,Passauer Neue Presse,Germany_majority,212,0.9953051643192489,Passauer Neue Presse,Peaceful_protest_majority,192,0.9014084507042254
359,SXM Talks,Saint_Martin_majority,22,0.9166666666666666,SXM Talks,Violent_demonstration_majority,15,0.625
360,Italpress,Italy_majority,22,0.9565217391304348,Italpress,Peaceful_protest_majority,16,0.6956521739130435
361,News12 (Long Island),United_States_majority,13,1.0,News12 (Long Island),Peaceful_protest_majority,13,1.0
362,Detroit News,United_States_majority,25,1.0,Detroit News,Peaceful_protest_majority,23,0.92
363,MLive,United_States_majority,35,1.0,MLive,Peaceful_protest_majority,34,0.9714285714285714
364,Omroep Gelderland,Netherlands_majority,36,1.0,Omroep Gelderland,Peaceful_protest_majority,23,0.6388888888888888
365,Tagblatt (Germany),Germany_majority,35,1.0,Tagblatt (Germany),Peaceful_protest_majority,33,0.9428571428571428
366,Modena Today,Italy_majority,70,1.0,Modena Today,Peaceful_protest_majority,66,0.9428571428571428
367,Seguo News,Italy_majority,15,1.0,Seguo News,Peaceful_protest_majority,12,0.8
368,L'Alsace,France_majority,80,0.9876543209876543,L'Alsace,Peaceful_protest_majority,77,0.9506172839506173
369,Fakti.bg,Bulgaria_majority,81,1.0,Fakti.bg,Peaceful_protest_majority,78,0.9629629629629629
370,Mezopotamya Agency,Turkey_majority,185,1.0,Mezopotamya Agency,Peaceful_protest_majority,128,0.6918918918918919
371,Cronaca Qui,Italy_majority,79,1.0,Cronaca Qui,Peaceful_protest_majority,71,0.8987341772151899
372,Boston.com,United_States_majority,13,1.0,Boston.com,Peaceful_protest_majority,13,1.0
373,Liberation News,United_States_majority,46,1.0,Liberation News,Peaceful_protest_majority,46,1.0
374,Sosialis (Malaysia),Malaysia_majority,17,1.0,Sosialis (Malaysia),Peaceful_protest_majority,17,1.0
375,Kashmir Times,India_majority,19,1.0,Kashmir Times,Peaceful_protest_majority,15,0.7894736842105263
376,Milano Today,Italy_majority,173,1.0,Milano Today,Peaceful_protest_majority,155,0.8959537572254336
377,Corriere Adriatico,Italy_majority,23,1.0,Corriere Adriatico,Peaceful_protest_majority,21,0.9130434782608695
378,Breitbart,United_States_majority,15,1.0,Breitbart,Peaceful_protest_majority,13,0.8666666666666667
379,News2Share,United_States_majority,34,1.0,News2Share,Peaceful_protest_majority,29,0.8529411764705882
380,La Sicilia,Italy_majority,64,1.0,La Sicilia,Peaceful_protest_majority,54,0.84375
381,Niederosterreichische Nachrichten,Austria_majority,40,1.0,Niederosterreichische Nachrichten,Peaceful_protest_majority,32,0.8
382,Napoli Today,Italy_majority,122,1.0,Napoli Today,Peaceful_protest_majority,114,0.9344262295081968
383,Gazeta Digital,Brazil_majority,29,1.0,Gazeta Digital,Peaceful_protest_majority,29,1.0
384,La Region,Spain_majority,18,0.72,La Region,Peaceful_protest_majority,24,0.96
385,Nnn,Germany_majority,208,1.0,Nnn,Peaceful_protest_majority,199,0.9567307692307693
386,Rawstory,United_States_majority,10,1.0,Rawstory,Peaceful_protest_majority,8,0.8
387,Globe and Mail (Canada),Canada_majority,37,1.0,Globe and Mail (Canada),Peaceful_protest_majority,28,0.7567567567567568
388,Victoria News,Canada_majority,49,1.0,Victoria News,Peaceful_protest_majority,43,0.8775510204081632
389,Cagliaripad,Italy_majority,89,1.0,Cagliaripad,Peaceful_protest_majority,83,0.9325842696629213
390,El Comercio (Ecuador),Ecuador_majority,120,0.975609756097561,El Comercio (Ecuador),Peaceful_protest_majority,101,0.8211382113821138
391,Casteddu Online,Italy_majority,87,1.0,Casteddu Online,Peaceful_protest_majority,80,0.9195402298850575
392,Foggia Today,Italy_majority,30,1.0,Foggia Today,Peaceful_protest_majority,28,0.9333333333333333
393,Washington Post,United_States_majority,46,0.9583333333333334,Washington Post,Peaceful_protest_majority,39,0.8125
394,Las Cruces Sun-News,United_States_majority,11,1.0,Las Cruces Sun-News,Peaceful_protest_majority,10,0.9090909090909091
395,El Siglo (Panama),Panama_majority,36,1.0,El Siglo (Panama),Peaceful_protest_majority,31,0.8611111111111112
396,Jeonnam Ilbo,South_Korea_majority,17,1.0,Jeonnam Ilbo,Peaceful_protest_majority,17,1.0
397,Prothom Alo,Bangladesh_majority,224,1.0,Prothom Alo,Peaceful_protest_majority,198,0.8839285714285714
398,Firenze Today,Italy_majority,72,1.0,Firenze Today,Peaceful_protest_majority,69,0.9583333333333334
399,Hart van Nederland,Netherlands_majority,26,1.0,Hart van Nederland,Peaceful_protest_majority,22,0.8461538461538461
400,WA Today,Australia_majority,20,1.0,WA Today,Peaceful_protest_majority,17,0.85
401,Diari De Girona,Spain_majority,28,1.0,Diari De Girona,Peaceful_protest_majority,28,1.0
402,Diario De Ibiza,Spain_majority,16,1.0,Diario De Ibiza,Peaceful_protest_majority,16,1.0
403,Diario De Leon,Spain_majority,41,1.0,Diario De Leon,Peaceful_protest_majority,38,0.926829268292683
404,Diario De Malaga Y Andalucia,Spain_majority,42,1.0,Diario De Malaga Y Andalucia,Peaceful_protest_majority,39,0.9285714285714286
405,Diario Informacion,Spain_majority,39,1.0,Diario Informacion,Peaceful_protest_majority,38,0.9743589743589743
406,El Diario,Spain_majority,98,0.98,El Diario,Peaceful_protest_majority,87,0.87
407,El Espanol,Spain_majority,17,1.0,El Espanol,Peaceful_protest_majority,14,0.8235294117647058
408,El Norte De Castilla,Spain_majority,66,1.0,El Norte De Castilla,Peaceful_protest_majority,60,0.9090909090909091
409,El Pais,Spain_majority,21,0.9130434782608695,El Pais,Peaceful_protest_majority,17,0.7391304347826086
410,Elcomercio,Spain_majority,111,1.0,Elcomercio,Peaceful_protest_majority,110,0.990990990990991
411,Salamanca Rtv Al Dia,Spain_majority,18,1.0,Salamanca Rtv Al Dia,Peaceful_protest_majority,18,1.0
412,Dia a Dia,Panama_majority,28,1.0,Dia a Dia,Peaceful_protest_majority,27,0.9642857142857143
413,La Estrella de Panama (Panama),Panama_majority,24,1.0,La Estrella de Panama (Panama),Peaceful_protest_majority,22,0.9166666666666666
414,New Age (Bangladesh),Bangladesh_majority,177,1.0,New Age (Bangladesh),Peaceful_protest_majority,149,0.8418079096045198
415,Australian Broadcasting Corporation News,Australia_majority,62,1.0,Australian Broadcasting Corporation News,Peaceful_protest_majority,38,0.6129032258064516
416,Fight Back News,United_States_majority,15,1.0,Fight Back News,Peaceful_protest_majority,15,1.0
417,Parma Today,Italy_majority,21,1.0,Parma Today,Peaceful_protest_majority,18,0.8571428571428571
418,Seattle Times,United_States_majority,24,1.0,Seattle Times,Peaceful_protest_majority,23,0.9583333333333334
419,ABC10 (San Diego),United_States_majority,26,1.0,ABC10 (San Diego),Peaceful_protest_majority,26,1.0
420,NBC 7 San Diego,United_States_majority,18,1.0,NBC 7 San Diego,Peaceful_protest_majority,18,1.0
421,Toronto Sun,Canada_majority,31,1.0,Toronto Sun,Peaceful_protest_majority,27,0.8709677419354839
422,TRT Haber,Turkey_majority,19,1.0,TRT Haber,Change_to_group_activity_majority,19,1.0
423,Bocholter-Borkener Volksblatt,Germany_majority,40,1.0,Bocholter-Borkener Volksblatt,Peaceful_protest_majority,33,0.825
424,Cairns Post,Australia_majority,11,1.0,Cairns Post,Peaceful_protest_majority,11,1.0
425,Vancouver Sun,Canada_majority,26,1.0,Vancouver Sun,Peaceful_protest_majority,22,0.8461538461538461
426,Critica (Panama),Panama_majority,127,1.0,Critica (Panama),Peaceful_protest_majority,120,0.9448818897637795
427,La Prensa Grafica,El_Salvador_majority,32,1.0,La Prensa Grafica,Peaceful_protest_majority,28,0.875
428,Statesman Journal,United_States_majority,16,1.0,Statesman Journal,Peaceful_protest_majority,13,0.8125
429,TribLive,United_States_majority,18,1.0,TribLive,Peaceful_protest_majority,18,1.0
430,Zim Eye,Zimbabwe_majority,25,1.0,Zim Eye,Attack_majority,15,0.6
431,Primo Numero,Italy_majority,27,1.0,Primo Numero,Peaceful_protest_majority,25,0.9259259259259259
432,Brasil de Fato,Brazil_majority,14,1.0,Brasil de Fato,Peaceful_protest_majority,14,1.0
433,Folha PE,Brazil_majority,27,1.0,Folha PE,Peaceful_protest_majority,26,0.9629629629629629
434,WTOP Radio,United_States_majority,13,1.0,WTOP Radio,Peaceful_protest_majority,11,0.8461538461538461
435,Brisbane Times,Australia_majority,25,1.0,Brisbane Times,Peaceful_protest_majority,18,0.72
436,Il Giornale Di Calabria,Italy_majority,50,1.0,Il Giornale Di Calabria,Peaceful_protest_majority,50,1.0
437,Los Andes (Peru),Peru_majority,43,1.0,Los Andes (Peru),Peaceful_protest_majority,37,0.8604651162790697
438,Jeonbuk Ilbo,South_Korea_majority,26,1.0,Jeonbuk Ilbo,Peaceful_protest_majority,26,1.0
439,CBS2 (Los Angeles),United_States_majority,41,1.0,CBS2 (Los Angeles),Peaceful_protest_majority,35,0.8536585365853658
440,Palermo Today,Italy_majority,89,1.0,Palermo Today,Peaceful_protest_majority,84,0.9438202247191011
441,Japan Demo Info,Japan_majority,188,1.0,Japan Demo Info,Peaceful_protest_majority,187,0.9946808510638298
442,24.hu,Hungary_majority,23,1.0,24.hu,Peaceful_protest_majority,19,0.8260869565217391
443,444.hu,Hungary_majority,18,1.0,444.hu,Peaceful_protest_majority,14,0.7777777777777778
444,Jeju Ilbo,South_Korea_majority,24,1.0,Jeju Ilbo,Peaceful_protest_majority,24,1.0
445,Gyeongnam Shinmun,South_Korea_majority,38,1.0,Gyeongnam Shinmun,Peaceful_protest_majority,38,1.0
446,7News,Australia_majority,32,1.0,7News,Peaceful_protest_majority,26,0.8125
447,NWZ Online,Germany_majority,39,1.0,NWZ Online,Peaceful_protest_majority,36,0.9230769230769231
448,Il Tempo,Italy_majority,17,1.0,Il Tempo,Peaceful_protest_majority,15,0.8823529411764706
449,Kieler Nachrichten,Germany_majority,47,1.0,Kieler Nachrichten,Peaceful_protest_majority,47,1.0
450,Gonews,Italy_majority,113,1.0,Gonews,Peaceful_protest_majority,112,0.9911504424778761
451,Rheinische Post,Germany_majority,105,1.0,Rheinische Post,Peaceful_protest_majority,84,0.8
452,Oe24.At,Austria_majority,84,0.9767441860465116,Oe24.At,Peaceful_protest_majority,68,0.7906976744186046
453,Kyodo News,Japan_majority,61,1.0,Kyodo News,Peaceful_protest_majority,56,0.9180327868852459
454,Malpensa24,Italy_majority,48,1.0,Malpensa24,Peaceful_protest_majority,48,1.0
455,Roma Today,Italy_majority,45,1.0,Roma Today,Peaceful_protest_majority,40,0.8888888888888888
456,Philadelphia Inquirer,United_States_majority,12,1.0,Philadelphia Inquirer,Peaceful_protest_majority,12,1.0
457,Il Cittadino Online,Italy_majority,17,1.0,Il Cittadino Online,Peaceful_protest_majority,17,1.0
458,Agrigento Notizie,Italy_majority,41,1.0,Agrigento Notizie,Peaceful_protest_majority,38,0.926829268292683
459,Free Malaysia Today,Malaysia_majority,20,1.0,Free Malaysia Today,Peaceful_protest_majority,14,0.7
460,Southland Times,New_Zealand_majority,15,1.0,Southland Times,Peaceful_protest_majority,14,0.9333333333333333
461,Make the Road New York,United_States_majority,22,1.0,Make the Road New York,Peaceful_protest_majority,21,0.9545454545454546
462,Daily Mail,United_States_majority,13,0.9285714285714286,Daily Mail,Peaceful_protest_majority,13,0.9285714285714286
463,NBC6 (Miami),United_States_majority,26,1.0,NBC6 (Miami),Peaceful_protest_majority,22,0.8461538461538461
464,Miami Herald,United_States_majority,15,1.0,Miami Herald,Peaceful_protest_majority,11,0.7333333333333333
465,KUSI,United_States_majority,27,1.0,KUSI,Peaceful_protest_majority,27,1.0
466,Yahoo News,United_States_majority,11,0.7333333333333333,Yahoo News,Peaceful_protest_majority,13,0.8666666666666667
467,Munhwa Ilbo,South_Korea_majority,26,1.0,Munhwa Ilbo,Peaceful_protest_majority,23,0.8846153846153846
468,WJZ13,United_States_majority,29,1.0,WJZ13,Peaceful_protest_majority,29,1.0
469,Taranaki Daily News,New_Zealand_majority,16,1.0,Taranaki Daily News,Peaceful_protest_majority,15,0.9375
470,NBC4 (Washington D.C.),United_States_majority,11,1.0,NBC4 (Washington D.C.),Peaceful_protest_majority,11,1.0
471,WCHS TV-8,United_States_majority,16,1.0,WCHS TV-8,Peaceful_protest_majority,16,1.0
472,WKBN,United_States_majority,10,1.0,WKBN,Peaceful_protest_majority,9,0.9
473,Abendzeitung Munchen,Germany_majority,60,1.0,Abendzeitung Munchen,Peaceful_protest_majority,53,0.8833333333333333
474,SigmaLive,Cyprus_majority,55,1.0,SigmaLive,Peaceful_protest_majority,45,0.8181818181818182
475,KATU,United_States_majority,31,1.0,KATU,Peaceful_protest_majority,29,0.9354838709677419
476,WKOW27,United_States_majority,13,1.0,WKOW27,Peaceful_protest_majority,13,1.0
477,WIBW-TV13,United_States_majority,12,1.0,WIBW-TV13,Peaceful_protest_majority,12,1.0
478,WTAE4,United_States_majority,10,1.0,WTAE4,Peaceful_protest_majority,10,1.0
479,KCCI8 News,United_States_majority,11,1.0,KCCI8 News,Peaceful_protest_majority,11,1.0
480,WKYT,United_States_majority,10,1.0,WKYT,Peaceful_protest_majority,10,1.0
481,News 4 San Antonio,United_States_majority,12,1.0,News 4 San Antonio,Peaceful_protest_majority,12,1.0
482,Indo-Asian News Service,India_majority,88,1.0,Indo-Asian News Service,Peaceful_protest_majority,57,0.6477272727272727
483,Arizona Central,United_States_majority,29,1.0,Arizona Central,Peaceful_protest_majority,27,0.9310344827586207
484,Tennessean,United_States_majority,10,1.0,Tennessean,Peaceful_protest_majority,9,0.9
485,ABC6 (Columbus),United_States_majority,25,1.0,ABC6 (Columbus),Peaceful_protest_majority,24,0.96
486,Colorado Times Recorder,United_States_majority,10,1.0,Colorado Times Recorder,Peaceful_protest_majority,9,0.9
487,NBC4 (Columbus),United_States_majority,11,1.0,NBC4 (Columbus),Peaceful_protest_majority,11,1.0
488,WCSH6,United_States_majority,12,1.0,WCSH6,Peaceful_protest_majority,12,1.0
489,Channel 8 WMTW,United_States_majority,11,1.0,Channel 8 WMTW,Peaceful_protest_majority,11,1.0
490,WCAX Channel 3,United_States_majority,15,1.0,WCAX Channel 3,Peaceful_protest_majority,14,0.9333333333333333
491,WNYT Channel 13,United_States_majority,11,1.0,WNYT Channel 13,Peaceful_protest_majority,11,1.0
492,Khaosod,Thailand_majority,30,1.0,Khaosod,Peaceful_protest_majority,29,0.9666666666666667
493,Prachatai,Thailand_majority,66,1.0,Prachatai,Peaceful_protest_majority,59,0.8939393939393939
494,Danas,Serbia_majority,58,1.0,Danas,Peaceful_protest_majority,57,0.9827586206896551
495,St. Louis Post-Dispatch,United_States_majority,20,1.0,St. Louis Post-Dispatch,Peaceful_protest_majority,17,0.85
496,Fox2 (St. Louis),United_States_majority,25,1.0,Fox2 (St. Louis),Peaceful_protest_majority,24,0.96
497,Daily Mail (United Kingdom),United_Kingdom_majority,21,0.65625,Daily Mail (United Kingdom),Peaceful_protest_majority,25,0.78125
498,KMOV4,United_States_majority,20,1.0,KMOV4,Peaceful_protest_majority,19,0.95
499,Fresno Bee,United_States_majority,20,1.0,Fresno Bee,Peaceful_protest_majority,20,1.0
500,ABC7 Chicago,United_States_majority,29,1.0,ABC7 Chicago,Peaceful_protest_majority,28,0.9655172413793104
501,CBS12 (Chico),United_States_majority,19,1.0,CBS12 (Chico),Peaceful_protest_majority,18,0.9473684210526315
502,Pressian,South_Korea_majority,45,0.9782608695652174,Pressian,Peaceful_protest_majority,43,0.9347826086956522
503,Kangwon Ilbo,South_Korea_majority,14,1.0,Kangwon Ilbo,Peaceful_protest_majority,14,1.0
504,KTUL,United_States_majority,10,1.0,KTUL,Peaceful_protest_majority,9,0.9
505,Daily Breeze,United_States_majority,13,1.0,Daily Breeze,Peaceful_protest_majority,13,1.0
506,Oklahoma's News 4,United_States_majority,13,1.0,Oklahoma's News 4,Peaceful_protest_majority,11,0.8461538461538461
507,Tiempo Sur (Argentina),Argentina_majority,69,0.971830985915493,Tiempo Sur (Argentina),Peaceful_protest_majority,63,0.8873239436619719
508,Aachener Zeitung,Germany_majority,66,0.9850746268656716,Aachener Zeitung,Peaceful_protest_majority,55,0.8208955223880597
509,Polizei Bayern,Germany_majority,54,0.9818181818181818,Polizei Bayern,Peaceful_protest_majority,50,0.9090909090909091
